Company Name,Market_cap,Qtr_sales,Price_sales_ratio
ERIS Lifescience,10289.81,182.21,56.47
Arvind Ltd,10247.7,2705.75,3.79
Sundaram Clayton,10074.36,1137.17,8.86
Hexaware Tech.,9885.05,1004.83,9.84
Mahanagar Gas,9885.05,1137.17,8.69
SKF India,9569.14,700.49,13.66
Delta Corp,9531.57,162.17,58.78
Union Bank (I),9528.82,8260.47,1.15
TV18 Broadcast,9463.27,271.13,34.9
Minda Inds.,9457.04,1056.16,8.95
Solar Inds.,9317.76,465.68,20.01
Kajaria Ceramics,9306.54,661.16,14.08
Astral Poly,9162.14,528.54,17.33
Bata India,9145.38,674.0,13.57
Phoenix Mills,9097.33,416.61,21.84
BASF India,8778.35,1278.74,6.86
DCM Shriram,8681.95,1783.73,4.87
Infibeam Incorp.,8646.54,213.48,40.5
Aegis Logistics,8613.86,1442.08,5.97
Mahindra CIE,8587.04,1137.17,7.55
Jet Airways,8539.88,6086.2,1.4
SpiceJet,8458.24,2081.95,4.06
Thomas Cook (I),8440.65,3005.45,2.81
Guj Fluorochem,8439.77,968.97,8.71
Wockhardt,8428.58,1005.3,8.38
Akzo Nobel,8389.47,711.99,11.78
IDFC,8380.86,2789.58,3.0
Security & Intel,8247.08,1537.72,5.36
Asahi India Glas,8183.96,640.38,12.78
TTK Prestige,8153.33,457.97,17.8
ITI,8124.6,250.97,32.37
Karur Vysya Bank,8065.7,1422.32,5.67
Vardhman Textile,8023.74,1647.98,4.87
Fortis Health.,7966.43,1156.61,6.89
Ipca Labs.,7943.03,859.21,9.24
Sheela Foam,7815.74,532.21,14.69
IRB Infra.Devl.,7812.73,1296.19,6.03
Atul,7789.01,803.68,9.69
Finolex Inds.,7784.17,722.72,10.77
Dish TV,7765.91,740.77,10.48
Rel. Comm.,7702.01,1144.0,6.73
Dr Lal Pathlabs,7550.78,262.7,28.74
OCL India,7453.05,859.24,8.67
NCC,7439.01,2780.26,2.68
Relaxo Footwear,7251.91,457.5,15.85
J K Cements,7230.76,1126.11,6.42
GNFC,7208.38,1590.89,4.53
Cochin Shipyard,7154.99,615.04,11.63
Bajaj Corp,9885.05,1137.17,8.69
Birla Corpn.,7137.67,1389.32,5.14
Future Lifestyle,7009.13,1188.97,5.9
Century Ply.,6966.23,509.93,13.66
Blue Star,6952.99,981.3,7.09
Kalpataru Power,6950.23,1417.37,4.9
Suzlon Energy,6942.31,1193.06,5.82
Cyient,6921.97,983.3,7.04
Hind.Copper,6902.14,440.14,15.68
Guj Pipavav Port,6864.85,162.68,42.2
Carborundum Uni.,6838.18,611.59,11.18
Can Fin Homes,6811.5,392.1,17.37
Sadbhav Engg.,6795.06,2153.34,3.16
Advanta,6742.41,361.68,18.64
Capital First,6710.63,987.64,6.79
Lak. Mach. Works,6654.81,542.42,12.27
